17-Aug-2026 00:47:37 | Trial 55/110 | record 54 | sigma_noise = 0.1 | realization 4/10 | success = 0 | crossings = NaN | steps = 71279 | retargets = 46 | seconds = 148.5 | elapsed = 18.6 min | ETA = 18.6 min
17-Aug-2026 00:47:51 | Trial 56/110 | record 52 | sigma_noise = 0.1 | realization 2/10 | success = 0 | crossings = NaN | steps = 88657 | retargets = 58 | seconds = 190.4 | elapsed = 18.8 min | ETA = 18.2 min
17-Aug-2026 00:47:53 | Trial 57/110 | record 53 | sigma_noise = 0.1 | realization 3/10 | success = 0 | crossings = NaN | steps = 85573 | retargets = 56 | seconds = 187.4 | elapsed = 18.9 min | ETA = 17.5 min
17-Aug-2026 00:49:37 | Trial 58/110 | record 58 | sigma_noise = 0.1 | realization 8/10 | success = 1 | crossings = 55 | steps = 84285 | retargets = 55 | seconds = 183.7 | elapsed = 20.6 min | ETA = 18.5 min
17-Aug-2026 00:49:46 | Trial 59/110 | record 63 | sigma_noise = 0.15 | realization 3/10 | success = 1 | crossings = 38 | steps = 54511 | retargets = 35 | seconds = 113.3 | elapsed = 20.8 min | ETA = 17.9 min
17-Aug-2026 00:50:03 | Trial 60/110 | record 57 | sigma_noise = 0.1 | realization 7/10 | success = 0 | crossings = NaN | steps = 95042 | retargets = 62 | seconds = 217.1 | elapsed = 21.0 min | ETA = 17.5 min
17-Aug-2026 00:50:10 | Trial 61/110 | record 60 | sigma_noise = 0.1 | realization 10/10 | success = 0 | crossings = NaN | steps = 86750 | retargets = 57 | seconds = 170.9 | elapsed = 21.1 min | ETA = 17.0 min
17-Aug-2026 00:50:22 | Trial 62/110 | record 61 | sigma_noise = 0.15 | realization 1/10 | success = 0 | crossings = NaN | steps = 74136 | retargets = 48 | seconds = 171.0 | elapsed = 21.3 min | ETA = 16.5 min
17-Aug-2026 00:50:46 | Trial 63/110 | record 64 | sigma_noise = 0.15 | realization 4/10 | success = 0 | crossings = NaN | steps = 82977 | retargets = 54 | seconds = 170.2 | elapsed = 21.7 min | ETA = 16.2 min
17-Aug-2026 00:51:22 | Trial 64/110 | record 62 | sigma_noise = 0.15 | realization 2/10 | success = 0 | crossings = NaN | steps = 102474 | retargets = 67 | seconds = 222.5 | elapsed = 22.4 min | ETA = 16.1 min
17-Aug-2026 00:51:57 | Trial 65/110 | record 66 | sigma_noise = 0.15 | realization 6/10 | success = 0 | crossings = NaN | steps = 60180 | retargets = 39 | seconds = 128.2 | elapsed = 22.9 min | ETA = 15.9 min
17-Aug-2026 00:53:00 | Trial 66/110 | record 65 | sigma_noise = 0.15 | realization 5/10 | success = 0 | crossings = NaN | steps = 89319 | retargets = 58 | seconds = 200.1 | elapsed = 24.0 min | ETA = 16.0 min
17-Aug-2026 00:53:09 | Trial 67/110 | record 68 | sigma_noise = 0.15 | realization 8/10 | success = 0 | crossings = NaN | steps = 73228 | retargets = 48 | seconds = 177.0 | elapsed = 24.1 min | ETA = 15.5 min
17-Aug-2026 00:53:32 | Trial 68/110 | record 69 | sigma_noise = 0.15 | realization 9/10 | success = 0 | crossings = NaN | steps = 82485 | retargets = 54 | seconds = 187.6 | elapsed = 24.5 min | ETA = 15.1 min
17-Aug-2026 00:53:49 | Trial 69/110 | record 70 | sigma_noise = 0.15 | realization 10/10 | success = 0 | crossings = NaN | steps = 64335 | retargets = 42 | seconds = 180.6 | elapsed = 24.8 min | ETA = 14.7 min
17-Aug-2026 00:53:57 | Trial 70/110 | record 67 | sigma_noise = 0.15 | realization 7/10 | success = 0 | crossings = NaN | steps = 92255 | retargets = 60 | seconds = 231.6 | elapsed = 24.9 min | ETA = 14.2 min
17-Aug-2026 00:54:56 | Trial 71/110 | record 71 | sigma_noise = 0.2 | realization 1/10 | success = 0 | crossings = NaN | steps = 95297 | retargets = 62 | seconds = 210.4 | elapsed = 25.9 min | ETA = 14.2 min
17-Aug-2026 00:55:27 | Trial 72/110 | record 72 | sigma_noise = 0.2 | realization 2/10 | success = 0 | crossings = NaN | steps = 88543 | retargets = 58 | seconds = 207.8 | elapsed = 26.4 min | ETA = 14.0 min
17-Aug-2026 00:55:55 | Trial 73/110 | record 73 | sigma_noise = 0.2 | realization 3/10 | success = 0 | crossings = NaN | steps = 72046 | retargets = 47 | seconds = 171.3 | elapsed = 26.9 min | ETA = 13.6 min
17-Aug-2026 00:56:30 | Trial 74/110 | record 74 | sigma_noise = 0.2 | realization 4/10 | success = 0 | crossings = NaN | steps = 82370 | retargets = 54 | seconds = 198.4 | elapsed = 27.5 min | ETA = 13.4 min
17-Aug-2026 00:57:03 | Trial 75/110 | record 75 | sigma_noise = 0.2 | realization 5/10 | success = 0 | crossings = NaN | steps = 91293 | retargets = 60 | seconds = 207.9 | elapsed = 28.0 min | ETA = 13.1 min
17-Aug-2026 00:57:23 | Trial 76/110 | record 77 | sigma_noise = 0.2 | realization 7/10 | success = 0 | crossings = NaN | steps = 85207 | retargets = 56 | seconds = 202.9 | elapsed = 28.4 min | ETA = 12.7 min
17-Aug-2026 00:57:57 | Trial 77/110 | record 76 | sigma_noise = 0.2 | realization 6/10 | success = 0 | crossings = NaN | steps = 90656 | retargets = 59 | seconds = 245.7 | elapsed = 28.9 min | ETA = 12.4 min
17-Aug-2026 00:58:08 | Trial 78/110 | record 78 | sigma_noise = 0.2 | realization 8/10 | success = 0 | crossings = NaN | steps = 87628 | retargets = 57 | seconds = 188.5 | elapsed = 29.1 min | ETA = 11.9 min
17-Aug-2026 00:58:31 | Trial 79/110 | record 80 | sigma_noise = 0.2 | realization 10/10 | success = 0 | crossings = NaN | steps = 61948 | retargets = 40 | seconds = 153.6 | elapsed = 29.5 min | ETA = 11.6 min
17-Aug-2026 00:58:58 | Trial 80/110 | record 79 | sigma_noise = 0.2 | realization 9/10 | success = 0 | crossings = NaN | steps = 93653 | retargets = 61 | seconds = 206.7 | elapsed = 29.9 min | ETA = 11.2 min
17-Aug-2026 00:59:23 | Trial 81/110 | record 81 | sigma_noise = 0.3 | realization 1/10 | success = 0 | crossings = NaN | steps = 76115 | retargets = 50 | seconds = 169.9 | elapsed = 30.4 min | ETA = 10.9 min
17-Aug-2026 01:00:21 | Trial 82/110 | record 82 | sigma_noise = 0.3 | realization 2/10 | success = 0 | crossings = NaN | steps = 85155 | retargets = 56 | seconds = 194.7 | elapsed = 31.3 min | ETA = 10.7 min
17-Aug-2026 01:00:33 | Trial 83/110 | record 83 | sigma_noise = 0.3 | realization 3/10 | success = 0 | crossings = NaN | steps = 77938 | retargets = 51 | seconds = 186.8 | elapsed = 31.5 min | ETA = 10.3 min
17-Aug-2026 01:00:48 | Trial 84/110 | record 84 | sigma_noise = 0.3 | realization 4/10 | success = 0 | crossings = NaN | steps = 71801 | retargets = 47 | seconds = 167.1 | elapsed = 31.8 min | ETA = 9.8 min
17-Aug-2026 01:02:14 | Trial 85/110 | record 86 | sigma_noise = 0.3 | realization 6/10 | success = 0 | crossings = NaN | steps = 80596 | retargets = 53 | seconds = 219.9 | elapsed = 33.2 min | ETA = 9.8 min
17-Aug-2026 01:02:30 | Trial 86/110 | record 85 | sigma_noise = 0.3 | realization 5/10 | success = 0 | crossings = NaN | steps = 96572 | retargets = 63 | seconds = 258.1 | elapsed = 33.5 min | ETA = 9.3 min
17-Aug-2026 01:03:10 | Trial 87/110 | record 88 | sigma_noise = 0.3 | realization 8/10 | success = 0 | crossings = NaN | steps = 98520 | retargets = 64 | seconds = 223.2 | elapsed = 34.1 min | ETA = 9.0 min
17-Aug-2026 01:03:24 | Trial 88/110 | record 87 | sigma_noise = 0.3 | realization 7/10 | success = 0 | crossings = NaN | steps = 104043 | retargets = 68 | seconds = 263.2 | elapsed = 34.4 min | ETA = 8.6 min
17-Aug-2026 01:03:48 | Trial 89/110 | record 90 | sigma_noise = 0.3 | realization 10/10 | success = 0 | crossings = NaN | steps = 78782 | retargets = 51 | seconds = 191.3 | elapsed = 34.8 min | ETA = 8.2 min
17-Aug-2026 01:04:12 | Trial 90/110 | record 89 | sigma_noise = 0.3 | realization 9/10 | success = 0 | crossings = NaN | steps = 82891 | retargets = 54 | seconds = 227.3 | elapsed = 35.2 min | ETA = 7.8 min
17-Aug-2026 01:05:13 | Trial 91/110 | record 92 | sigma_noise = 0.5 | realization 2/10 | success = 0 | crossings = NaN | steps = 78696 | retargets = 51 | seconds = 175.2 | elapsed = 36.2 min | ETA = 7.6 min
17-Aug-2026 01:05:28 | Trial 92/110 | record 91 | sigma_noise = 0.5 | realization 1/10 | success = 0 | crossings = NaN | steps = 104572 | retargets = 68 | seconds = 276.4 | elapsed = 36.4 min | ETA = 7.1 min
17-Aug-2026 01:05:53 | Trial 93/110 | record 96 | sigma_noise = 0.5 | realization 6/10 | success = 0 | crossings = NaN | steps = 60425 | retargets = 39 | seconds = 121.9 | elapsed = 36.9 min | ETA = 6.7 min
17-Aug-2026 01:06:37 | Trial 94/110 | record 95 | sigma_noise = 0.5 | realization 5/10 | success = 0 | crossings = NaN | steps = 73977 | retargets = 48 | seconds = 189.8 | elapsed = 37.6 min | ETA = 6.4 min
17-Aug-2026 01:07:09 | Trial 95/110 | record 93 | sigma_noise = 0.5 | realization 3/10 | success = 0 | crossings = NaN | steps = 114412 | retargets = 75 | seconds = 276.0 | elapsed = 38.1 min | ETA = 6.0 min
17-Aug-2026 01:07:20 | Trial 96/110 | record 94 | sigma_noise = 0.5 | realization 4/10 | success = 0 | crossings = NaN | steps = 100107 | retargets = 65 | seconds = 246.8 | elapsed = 38.3 min | ETA = 5.6 min
17-Aug-2026 01:07:37 | Trial 97/110 | record 97 | sigma_noise = 0.5 | realization 7/10 | success = 0 | crossings = NaN | steps = 81839 | retargets = 53 | seconds = 201.0 | elapsed = 38.6 min | ETA = 5.2 min
17-Aug-2026 01:08:12 | Trial 98/110 | record 100 | sigma_noise = 0.5 | realization 10/10 | success = 0 | crossings = NaN | steps = 66599 | retargets = 43 | seconds = 134.9 | elapsed = 39.2 min | ETA = 4.8 min
17-Aug-2026 01:08:18 | Trial 99/110 | record 101 | sigma_noise = 1 | realization 1/10 | success = 0 | crossings = NaN | steps = 50893 | retargets = 33 | seconds = 97.2 | elapsed = 39.3 min | ETA = 4.4 min
17-Aug-2026 01:08:22 | Trial 100/110 | record 98 | sigma_noise = 0.5 | realization 8/10 | success = 0 | crossings = NaN | steps = 84695 | retargets = 55 | seconds = 182.4 | elapsed = 39.3 min | ETA = 3.9 min
17-Aug-2026 01:09:01 | Trial 101/110 | record 99 | sigma_noise = 0.5 | realization 9/10 | success = 0 | crossings = NaN | steps = 89810 | retargets = 59 | seconds = 208.5 | elapsed = 40.0 min | ETA = 3.6 min
17-Aug-2026 01:09:44 | Trial 102/110 | record 102 | sigma_noise = 1 | realization 2/10 | success = 0 | crossings = NaN | steps = 75965 | retargets = 50 | seconds = 150.9 | elapsed = 40.7 min | ETA = 3.2 min
17-Aug-2026 01:10:21 | Trial 103/110 | record 105 | sigma_noise = 1 | realization 5/10 | success = 0 | crossings = NaN | steps = 53863 | retargets = 35 | seconds = 125.2 | elapsed = 41.3 min | ETA = 2.8 min
17-Aug-2026 01:10:46 | Trial 104/110 | record 104 | sigma_noise = 1 | realization 4/10 | success = 0 | crossings = NaN | steps = 75443 | retargets = 49 | seconds = 185.0 | elapsed = 41.7 min | ETA = 2.4 min
17-Aug-2026 01:10:49 | Trial 105/110 | record 103 | sigma_noise = 1 | realization 3/10 | success = 0 | crossings = NaN | steps = 95965 | retargets = 63 | seconds = 205.1 | elapsed = 41.8 min | ETA = 2.0 min
17-Aug-2026 01:10:53 | Trial 106/110 | record 107 | sigma_noise = 1 | realization 7/10 | success = 0 | crossings = NaN | steps = 63462 | retargets = 41 | seconds = 147.4 | elapsed = 41.9 min | ETA = 1.6 min
17-Aug-2026 01:10:59 | Trial 107/110 | record 108 | sigma_noise = 1 | realization 8/10 | success = 0 | crossings = NaN | steps = 60549 | retargets = 39 | seconds = 114.8 | elapsed = 42.0 min | ETA = 1.2 min
17-Aug-2026 01:11:27 | Trial 108/110 | record 106 | sigma_noise = 1 | realization 6/10 | success = 0 | crossings = NaN | steps = 94894 | retargets = 62 | seconds = 186.7 | elapsed = 42.4 min | ETA = 0.8 min
17-Aug-2026 01:11:47 | Trial 109/110 | record 109 | sigma_noise = 1 | realization 9/10 | success = 1 | crossings = 59 | steps = 73550 | retargets = 48 | seconds = 121.0 | elapsed = 42.8 min | ETA = 0.4 min
17-Aug-2026 01:11:59 | Trial 110/110 | record 110 | sigma_noise = 1 | realization 10/10 | success = 0 | crossings = NaN | steps = 68343 | retargets = 44 | seconds = 96.0 | elapsed = 43.0 min | ETA = 0.0 min
