16-Aug-2026 11:58:25 | Trial 41/60 | record 39 | sigma_noise = 0.1 | realization 9/10 | success = 0 | crossings = NaN | steps = 75314 | retargets = 49 | seconds = 181.2 | elapsed = 14.0 min | ETA = 6.5 min
16-Aug-2026 11:59:07 | Trial 42/60 | record 40 | sigma_noise = 0.1 | realization 10/10 | success = 0 | crossings = NaN | steps = 92423 | retargets = 60 | seconds = 193.1 | elapsed = 14.7 min | ETA = 6.3 min
16-Aug-2026 11:59:47 | Trial 43/60 | record 44 | sigma_noise = 0.5 | realization 4/10 | success = 0 | crossings = NaN | steps = 77021 | retargets = 50 | seconds = 164.8 | elapsed = 15.4 min | ETA = 6.1 min
16-Aug-2026 12:00:00 | Trial 44/60 | record 42 | sigma_noise = 0.5 | realization 2/10 | success = 0 | crossings = NaN | steps = 80394 | retargets = 52 | seconds = 187.7 | elapsed = 15.6 min | ETA = 5.7 min
16-Aug-2026 12:00:11 | Trial 45/60 | record 46 | sigma_noise = 0.5 | realization 6/10 | success = 0 | crossings = NaN | steps = 77455 | retargets = 50 | seconds = 146.0 | elapsed = 15.8 min | ETA = 5.3 min
16-Aug-2026 12:00:36 | Trial 46/60 | record 43 | sigma_noise = 0.5 | realization 3/10 | success = 0 | crossings = NaN | steps = 74617 | retargets = 49 | seconds = 217.6 | elapsed = 16.2 min | ETA = 4.9 min
16-Aug-2026 12:01:42 | Trial 47/60 | record 47 | sigma_noise = 0.5 | realization 7/10 | success = 0 | crossings = NaN | steps = 75897 | retargets = 49 | seconds = 194.6 | elapsed = 17.3 min | ETA = 4.8 min
16-Aug-2026 12:01:49 | Trial 48/60 | record 45 | sigma_noise = 0.5 | realization 5/10 | success = 0 | crossings = NaN | steps = 100261 | retargets = 66 | seconds = 266.2 | elapsed = 17.4 min | ETA = 4.4 min
16-Aug-2026 12:02:46 | Trial 49/60 | record 52 | sigma_noise = 1 | realization 2/10 | success = 0 | crossings = NaN | steps = 61165 | retargets = 40 | seconds = 153.3 | elapsed = 18.4 min | ETA = 4.1 min
16-Aug-2026 12:03:07 | Trial 50/60 | record 49 | sigma_noise = 0.5 | realization 9/10 | success = 0 | crossings = NaN | steps = 76989 | retargets = 50 | seconds = 198.3 | elapsed = 18.7 min | ETA = 3.7 min
16-Aug-2026 12:03:31 | Trial 51/60 | record 53 | sigma_noise = 1 | realization 3/10 | success = 0 | crossings = NaN | steps = 70297 | retargets = 46 | seconds = 173.1 | elapsed = 19.1 min | ETA = 3.4 min
16-Aug-2026 12:03:44 | Trial 52/60 | record 50 | sigma_noise = 0.5 | realization 10/10 | success = 0 | crossings = NaN | steps = 94742 | retargets = 62 | seconds = 222.1 | elapsed = 19.3 min | ETA = 3.0 min
16-Aug-2026 12:04:40 | Trial 53/60 | record 48 | sigma_noise = 0.5 | realization 8/10 | success = 0 | crossings = NaN | steps = 118407 | retargets = 77 | seconds = 330.6 | elapsed = 20.3 min | ETA = 2.7 min
16-Aug-2026 12:05:06 | Trial 54/60 | record 54 | sigma_noise = 1 | realization 4/10 | success = 0 | crossings = NaN | steps = 78797 | retargets = 51 | seconds = 202.1 | elapsed = 20.7 min | ETA = 2.3 min
16-Aug-2026 12:05:24 | Trial 55/60 | record 56 | sigma_noise = 1 | realization 6/10 | success = 0 | crossings = NaN | steps = 74036 | retargets = 48 | seconds = 155.6 | elapsed = 21.0 min | ETA = 1.9 min
16-Aug-2026 12:05:27 | Trial 56/60 | record 55 | sigma_noise = 1 | realization 5/10 | success = 0 | crossings = NaN | steps = 91563 | retargets = 60 | seconds = 215.9 | elapsed = 21.0 min | ETA = 1.5 min
16-Aug-2026 12:05:34 | Trial 57/60 | record 57 | sigma_noise = 1 | realization 7/10 | success = 0 | crossings = NaN | steps = 71098 | retargets = 46 | seconds = 145.1 | elapsed = 21.2 min | ETA = 1.1 min
16-Aug-2026 12:06:18 | Trial 58/60 | record 59 | sigma_noise = 1 | realization 9/10 | success = 0 | crossings = NaN | steps = 75974 | retargets = 50 | seconds = 152.1 | elapsed = 21.9 min | ETA = 0.8 min
16-Aug-2026 12:06:24 | Trial 59/60 | record 58 | sigma_noise = 1 | realization 8/10 | success = 0 | crossings = NaN | steps = 82671 | retargets = 54 | seconds = 171.1 | elapsed = 22.0 min | ETA = 0.4 min
16-Aug-2026 12:06:34 | Trial 60/60 | record 60 | sigma_noise = 1 | realization 10/10 | success = 0 | crossings = NaN | steps = 70447 | retargets = 46 | seconds = 113.0 | elapsed = 22.2 min | ETA = 0.0 min
